                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190822"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                            model_number                                 star_age                                star_mass                                   radius                               luminosity                                    log_L                              effective_T                                    log_g                           surf_avg_omega                           surf_avg_v_rot                 photosphere_cell_density                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  9.6099999999999997E-001                  2.8214430722028268E+001                  2.9651028103814514E+002                  2.4720397564548353E+000                  4.5123596944151468E+003                  1.5196701570707540E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3273774802982169E-009                                        0                                        0 
                                       2                  2.2000000000000003E-005                  9.6099999999999997E-001                  2.8212657741932237E+001                  2.9448670304753603E+002                  2.4690656898753991E+000                  4.5047826383104011E+003                  1.5197247404627698E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3387626640676846E-009                                        0                                        0 
                                       3                  3.6400000000000004E-005                  9.6099999999999997E-001                  2.8210583961786067E+001                  2.9220403096707901E+002                  2.4656862027505162E+000                  4.4961928517561773E+003                  1.5197885887102205E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3520424067842011E-009                                        0                                        0 
                                       4                  5.3680000000000001E-005                  9.6099999999999997E-001                  2.8208144564838385E+001                  2.8960367033315708E+002                  2.4618040616526500E+000                  4.4863502220232340E+003                  1.5198636996999133E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3677761919389141E-009                                        0                                        0 
                                       5                  7.4416000000000000E-005                  9.6099999999999997E-001                  2.8205290824333126E+001                  2.8662841555801248E+002                  2.4573192429640196E+000                  4.4750092558571005E+003                  1.5199515769048184E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3866346804837179E-009                                        0                                        0 
                                       6                  9.9299199999999986E-005                  9.6099999999999997E-001                  2.8201960688094509E+001                  2.8322928286900208E+002                  2.4521381527288133E+000                  4.4619459483521741E+003                  1.5200541353351846E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4094077796985830E-009                                        0                                        0 
                                       7                  1.2915903999999998E-004                  9.6099999999999997E-001                  2.8198097215559450E+001                  2.7942303517819425E+002                  2.4462622057810592E+000                  4.4471836866421700E+003                  1.5201731341353952E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4366017572768191E-009                                        0                                        0 
                                       8                  1.6499084799999998E-004                  9.6099999999999997E-001                  2.8193626970277915E+001                  2.7515907361013325E+002                  2.4395838386221467E+000                  4.4304710514186881E+003                  1.5203108424882161E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4693248260350391E-009                                        0                                        0 
                                       9                  2.0798901759999997E-004                  9.6099999999999997E-001                  2.8188512391293759E+001                  2.7051018273171218E+002                  2.4321836177640614E+000                  4.4120379978737183E+003                  1.5204684266779132E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5079161894358274E-009                                        0                                        0 
                                      10                  2.5958682111999992E-004                  9.6099999999999997E-001                  2.8182676268076253E+001                  2.6541259024616426E+002                  2.4239215204302420E+000                  4.3915586009247381E+003                  1.5206482771425498E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5539825293396725E-009                                        0                                        0 
                                      11                  3.2150418534399988E-004                  9.6099999999999997E-001                  2.8176067106810130E+001                  2.5992094703018313E+002                  2.4148412807054758E+000                  4.3691761259048662E+003                  1.5208519951184423E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6083570153273068E-009                                        0                                        0 
                                      12                  3.9580502241279986E-004                  9.6099999999999997E-001                  2.8168648133226917E+001                  2.5407714912264251E+002                  2.4049656077650630E+000                  4.3449803602277589E+003                  1.5210807313392907E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6720851662024457E-009                                        0                                        0 
                                      13                  4.8496602689535978E-004                  9.6099999999999997E-001                  2.8160367530344587E+001                  2.4791147458728247E+002                  2.3942966285613263E+000                  4.3190120532387882E+003                  1.5213361038234123E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7464565585145386E-009                                        0                                        0 
                                      14                  5.9195923227443165E-004                  9.6099999999999997E-001                  2.8151238653780830E+001                  2.4155382754840267E+002                  2.3830139235032690E+000                  4.2917473220545362E+003                  1.5216177239739286E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8314913070134811E-009                                        0                                        0 
                                      15                  7.2035107872931792E-004                  9.6099999999999997E-001                  2.8141252521327900E+001                  2.3504220693810703E+002                  2.3711458562905565E+000                  4.2632830810759897E+003                  1.5219258945433827E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9281210060187338E-009                                        0                                        0 
                                      16                  8.7442129447518155E-004                  9.6099999999999997E-001                  2.8130445132490237E+001                  2.2843261113515868E+002                  2.3587581040617862E+000                  4.2338029581655555E+003                  1.5222595322041881E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0368618209672321E-009                                        0                                        0 
                                      17                  1.0593055533702177E-003                  9.6099999999999997E-001                  2.8118867842659693E+001                  2.2184381904941026E+002                  2.3460473330294542E+000                  4.2038028103562383E+003                  1.5226170799070031E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1567373032468525E-009                                        0                                        0 
                                      18                  1.2811666640442612E-003                  9.6099999999999997E-001                  2.8106600508812740E+001                  2.1539549428384544E+002                  2.3332366143374066E+000                  4.1738266850713126E+003                  1.5229960992829650E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2868909491546009E-009                                        0                                        0 
