                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190822"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                            model_number                                 star_age                                star_mass                                   radius                               luminosity                                    log_L                              effective_T                                    log_g                           surf_avg_omega                           surf_avg_v_rot                 photosphere_cell_density                              num_retries                              num_backups 
                                      51                  5.4597628900012818E-001                  9.6099999987281104E-001                  2.7806648416453573E+001                  1.5059270694455040E+002                  2.1778039399229008E+000                  3.8371261761548853E+003                  1.5323154495208111E+000                  2.0669614354527091E-008                  3.9826310096822770E-001                  1.0536741444251917E-008                                        0                                        0 
                                      52                  6.5518154680015372E-001                  9.6099999972021632E-001                  2.7805058439718664E+001                  1.5057246752735483E+002                  2.1777455675215527E+000                  3.8371069477063656E+003                  1.5323651165569656E+000                  2.0671617011627868E-008                  3.9827902371786944E-001                  1.0537808238361065E-008                                        0                                        0 
                                      53                  7.8622785616018454E-001                  9.6099999953713766E-001                  2.7803426068369479E+001                  1.5055432166871853E+002                  2.1776932264707565E+000                  3.8371039731308119E+003                  1.5324161108414260E+000                  2.0673583797402752E-008                  3.9829363474019619E-001                  1.0538628552964897E-008                                        0                                        0 
                                      54                  9.4348342739222135E-001                  9.6099999931748270E-001                  2.7801679495556947E+001                  1.5053682811299294E+002                  2.1776427609905555E+000                  3.8371130288226923E+003                  1.5324706760147031E+000                  2.0675671030135203E-008                  3.9830892339735563E-001                  1.0539305570915674E-008                                        0                                        0 
                                      55                  1.1321901128706657E+000                  9.6099999905394407E-001                  2.7799740340513658E+001                  1.5051879920622184E+002                  2.1775907449906917E+000                  3.8371319580470577E+003                  1.5325312617106923E+000                  2.0678027746285098E-008                  3.9832664247407445E-001                  1.0539911722548011E-008                                        0                                        0 
                                      56                  1.3586381354447987E+000                  9.6099999873775754E-001                  2.7797522220617815E+001                  1.5049913610446822E+002                  2.1775340069987044E+000                  3.8371597205392441E+003                  1.5326005683780364E+000                  2.0680801007393348E-008                  3.9834839025135366E-001                  1.0540504936273497E-008                                        0                                        0 
                                      57                  1.6303757625337585E+000                  9.6099999835841354E-001                  2.7794930577383120E+001                  1.5047677494184347E+002                  2.1774694747275269E+000                  3.8371960618949665E+003                  1.5326815530381810E+000                  2.0684138640924463E-008                  3.9837566054278079E-001                  1.0541134142993625E-008                                        0                                        0 
                                      58                  1.9564609150405099E+000                  9.6099999790331081E-001                  2.7791862114026610E+001                  1.5045065731465940E+002                  2.1773940895005315E+000                  3.8372413643966502E+003                  1.5327774473168292E+000                  2.0688191922053809E-008                  3.9840988558960028E-001                  1.0541841995257239E-008                                        0                                        0 
                                      59                  2.3477630980486119E+000                  9.6099999735734232E-001                  2.7788202735042624E+001                  1.5041969826548487E+002                  2.1773047131693670E+000                  3.8372965850897399E+003                  1.5328918224747696E+000                  2.0693118816757720E-008                  3.9845246831975051E-001                  1.0542666869584807E-008                                        0                                        0 
                                      60                  2.8173257176583340E+000                  9.6099999670240133E-001                  2.7783824883930833E+001                  1.5038275073272305E+002                  2.1771980244789493E+000                  3.8373632127090082E+003                  1.5330286735168339E+000                  2.0699088161993106E-008                  3.9850482296063050E-001                  1.0543644851019606E-008                                        0                                        0 
                                      61                  3.3808008611900009E+000                  9.6099999591678897E-001                  2.7778580371324455E+001                  1.5033853114821841E+002                  2.1770703027456504E+000                  3.8374432879932833E+003                  1.5331926446732225E+000                  2.0706292787597913E-008                  3.9856852328286130E-001                  1.0544812820321506E-008                                        0                                        0 
                                      62                  4.0569710334280007E+000                  9.6099999497450928E-001                  2.7772295580821357E+001                  1.5028556197959080E+002                  2.1769172596701956E+000                  3.8375393675831410E+003                  1.5333891811912455E+000                  2.0714961255079728E-008                  3.9864545648151689E-001                  1.0546211355982505E-008                                        0                                        0 
