                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190822"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                            model_number                                 star_age                                star_mass                                   radius                               luminosity                                    log_L                              effective_T                                    log_g                           surf_avg_omega                           surf_avg_v_rot                 photosphere_cell_density                              num_retries                              num_backups 
                                    3582                  1.4182609034392323E+010                  4.7406251499862351E-001                  1.3309871749505081E+002                  2.2736355823968152E+003                  3.3567208573452114E+000                  3.4571856143131799E+003                 -1.3462277186983496E-001                  2.4586085759587492E-014                  2.2043261728007785E-006                  1.7953220764169132E-009                                        1                                        0 
                                    3583                  1.4182609113307470E+010                  4.7404639483384803E-001                  1.3304646014663487E+002                  2.2732019261105620E+003                  3.3566380153556392E+000                  3.4576996024100940E+003                 -1.3429644678991950E-001                  2.4550012005940745E-014                  2.2002241506706356E-006                  1.7943498974068774E-009                                        1                                        0 
                                    3584                  1.4182609208005648E+010                  4.7402706126175143E-001                  1.3299122100776984E+002                  2.2729375928362670E+003                  3.3565875116339381E+000                  3.4583170790601748E+003                 -1.3395345788748006E-001                  2.4503408193473402E-014                  2.1951264680640880E-006                  1.7930520736604856E-009                                        1                                        0 
                                    3585                  1.4182609321643459E+010                  4.7400387235861569E-001                  1.3292950031954376E+002                  2.2727468642101817E+003                  3.3565510672257610E+000                  3.4590472855670214E+003                 -1.3357150143700794E-001                  2.4444279454928780E-014                  2.1887977138008233E-006                  1.7914561932101805E-009                                        1                                        0 
                                    3586                  1.4182609389826147E+010                  4.7398996596054133E-001                  1.3290291999043600E+002                  2.2726025317335930E+003                  3.3565234861565396E+000                  3.4593382455446317E+003                 -1.3341054426403090E-001                  2.4403515706900555E-014                  2.1847143539233145E-006                  1.7908443897882330E-009                                        2                                        0 
                                    3587                  1.4182609471645372E+010                  4.7397328218976981E-001                  1.3285865913610235E+002                  2.2724737680599542E+003                  3.3564988787135586E+000                  3.4598654137337462E+003                 -1.3313651544482061E-001                  2.4361286342724352E-014                  2.1801944201916772E-006                  1.7896898390175269E-009                                        2                                        0 
                                    3588                  1.4182609569828442E+010                  4.7395326876183391E-001                  1.3280886726906820E+002                  2.2722930812450786E+003                  3.3564643461228685E+000                  3.4604451391287844E+003                 -1.3282926893653882E-001                  2.4307788876078796E-014                  2.1745910328200736E-006                  1.7884374018026481E-009                                        2                                        0 
                                    3589                  1.4182609687648125E+010                  4.7392926254408263E-001                  1.3274879095883705E+002                  2.2721608176511727E+003                  3.3564390663641630E+000                  3.4611777056813444E+003                 -1.3245827040940697E-001                  2.4243678801260704E-014                  2.1678740016944989E-006                  1.7868109360972723E-009                                        2                                        0 
                                    3590                  1.4182609758339935E+010                  4.7391486543777678E-001                  1.3271245944399499E+002                  2.2721059601072011E+003                  3.3564285809196219E+000                  3.4616305471033352E+003                 -1.3223371031692491E-001                  2.4205925397395519E-014                  2.1639028970408299E-006                  1.7857940591217480E-009                                        3                                        0 
                                    3591                  1.4182609843170105E+010                  4.7389759353086847E-001                  1.3266647236000165E+002                  2.2719661828778844E+003                  3.3564018628229468E+000                  3.4621772101277852E+003                 -1.3194850579662687E-001                  2.4161872359073403E-014                  2.1592130260887903E-006                  1.7846054369218211E-009                                        3                                        0 
                                    3592                  1.4182609944966312E+010                  4.7387687494410741E-001                  1.3261262148055806E+002                  2.2718377020041248E+003                  3.3563773025488097E+000                  3.4628311353572394E+003                 -1.3161485132991688E-001                  2.4108326562895299E-014                  2.1535479839320449E-006                  1.7831654292670659E-009                                        3                                        0 
                                    3593                  1.4182610067121759E+010                  4.7385202305078994E-001                  1.3255051273626529E+002                  2.2717652595445679E+003                  3.3563634539089926E+000                  3.4636147121037829E+003                 -1.3123073150637557E-001                  2.4042330620557628E-014                  2.1466364430082049E-006                  1.7814008738246166E-009                                        3                                        0 
                                    3594                  1.4182610213708298E+010                  4.7382221413319892E-001                  1.3248017310397901E+002                  2.2718091703978475E+003                  3.3563718482872820E+000                  3.4645508251833735E+003                 -1.3079700257814550E-001                  2.3960545381642304E-014                  2.1381808321283526E-006                  1.7792299147208702E-009                                        3                                        0 
                                    3595                  1.4182610389612143E+010                  4.7378645947399184E-001                  1.3239907877176537E+002                  2.2719567857989600E+003                  3.3564000665339027E+000                  3.4656679750130893E+003                 -1.3029792850857846E-001                  2.3860088217946881E-014                  2.1279055080447217E-006                  1.7765958238655687E-009                                        3                                        0 
                                    3596                  1.4182610495154449E+010                  4.7376501679909744E-001                  1.3235123318248120E+002                  2.2719913296177838E+003                  3.3564066696858395E+000                  3.4663075216798384E+003                 -1.3000364206936924E-001                  2.3800055308066055E-014                  2.1217836214317635E-006                  1.7751135613986708E-009                                        4                                        0 
                                    3597                  1.4182610558479836E+010                  4.7375215506581647E-001                  1.3231888232369420E+002                  2.2719695661213109E+003                  3.3564025095415770E+000                  3.4667229353456851E+003                 -1.2980309564739265E-001                  2.3766171578427801E-014                  2.1182411826438230E-006                  1.7741768083415759E-009                                        5                                        0 
                                    3598                  1.4182610634470295E+010                  4.7373672448736071E-001                  1.3227611391603253E+002                  2.2718331905814121E+003                  3.3563764401245559E+000                  3.4672312998950697E+003                 -1.2953644861447494E-001                  2.3727476748968061E-014                  2.1141049123944698E-006                  1.7730878659355649E-009                                        5                                        0 
                                    3599                  1.4182610725658848E+010                  4.7371821428643701E-001                  1.3222530728983693E+002                  2.2716606708084487E+003                  3.3563434591686048E+000                  3.4678315266308559E+003                 -1.2921973305253648E-001                  2.3680965083374952E-014                  2.1091456038886436E-006                  1.7718087556560965E-009                                        5                                        0 
                                    3600                  1.4182610835085110E+010                  4.7369601139553646E-001                  1.3216666062650685E+002                  2.2715250159748493E+003                  3.3563175239989884E+000                  3.4685490523117583E+003                 -1.2885475285257950E-001                  2.3623279991762791E-014                  2.1030665909052258E-006                  1.7702459339110779E-009                                        5                                        0 
                                    3601                  1.4182610900740870E+010                  4.7368269574073729E-001                  1.3213055733344066E+002                  2.2714340759625502E+003                  3.3563001367653675E+000                  3.4689881714080925E+003                 -1.2862966066415471E-001                  2.3589594090024627E-014                  2.0994884385922613E-006                  1.7692953386526764E-009                                        6                                        0 
                                    3602                  1.4182610979527781E+010                  4.7366672151031775E-001                  1.3208380011750103E+002                  2.2712299863755275E+003                  3.3562611134168208E+000                  3.4695241830494770E+003                 -1.2833688370537225E-001                  2.3551012943535033E-014                  2.0953068678765513E-006                  1.7681838921353975E-009                                        6                                        0 
                                    3603                  1.4182611074072071E+010                  4.7364756029276167E-001                  1.3203014518138895E+002                  2.2710508587066706E+003                  3.3562268600710525E+000                  3.4701606663209209E+003                 -1.2800154361671734E-001                  2.3503396099197030E-014                  2.0902213128090466E-006                  1.7668334023794492E-009                                        6                                        0 
                                    3604                  1.4182611187525221E+010                  4.7362457705504973E-001                  1.3196964870966991E+002                  2.2709467856200899E+003                  3.3562069576533222E+000                  3.4709161911931483E+003                 -1.2762453742402108E-001                  2.3443569936275163E-014                  2.0839483137522621E-006                  1.7651774151614388E-009                                        6                                        0 
                                    3605                  1.4182611255597111E+010                  4.7361079339381340E-001                  1.3193286046837926E+002                  2.2708724733782783E+003                  3.3561927459928755E+000                  3.4713716746604600E+003                 -1.2739501253628091E-001                  2.3408201131739450E-014                  2.0802249847960797E-006                  1.7641863926536450E-009                                        7                                        0 
                                    3606                  1.4182611323669001E+010                  4.7359701362484280E-001                  1.3189647032044024E+002                  2.2707675574160635E+003                  3.3561726808079850E+000                  3.4718104149958908E+003                 -1.2716803851424091E-001                  2.3372801212427774E-014                  2.0765068992112768E-006                  1.7632483154628918E-009                                        7                                        0 
                                    3607                  1.4182611391740892E+010                  4.7358323789230650E-001                  1.3185728826187741E+002                  2.2706287051292124E+003                  3.3561461238732839E+000                  3.4722731272371734E+003                 -1.2692260396739602E-001                  2.3338751665220207E-014                  2.0728662566111454E-006                  1.7622759970634447E-009                                        7                                        0 
