                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200614"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                      21                  2.2502559954684833E-003                  2.0000000000000000E-002                  2.1778598298527682E-001                  5.9061374631869556E+000                  0.0000000000000000E+000                                        0                                        0 
                                      30                  1.1818815689988486E-002                  2.0000000000000000E-002                  2.1777564903514857E-001                  5.9061073646357620E+000                  0.0000000000000000E+000                                        0                                        0 
                                      40                  7.3438578398454288E-002                  2.0000000000000000E-002                  2.1776695091686535E-001                  5.9059088570444507E+000                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.5497190750010724E-001                  2.0000000000000000E-002                  2.1771315243341111E-001                  5.9047694358866858E+000                  0.0000000000000000E+000                                        0                                        0 
                                      60                  2.8173257176583366E+000                  2.0000000000000000E-002                  2.1738078435994151E-001                  5.8977488391256703E+000                  0.0000000000000000E+000                                        0                                        0 
                                      70                  1.7444397846610453E+001                  2.0000000000000000E-002                  2.1537797121793592E-001                  5.8554021150437734E+000                  0.0000000000000000E+000                                        0                                        0 
                                      80                  7.3984043757280347E+001                  2.0000000000000000E-002                  2.0836546133181316E-001                  5.7070950126851407E+000                  0.0000000000000000E+000                                        0                                        0 
                                      90                  1.4647585974172455E+002                  2.0000000000000000E-002                  2.0068063286869459E-001                  5.5442864537224370E+000                  0.0000000000000000E+000                                        0                                        0 
                                     100                  2.2970835726146194E+002                  2.0000000000000000E-002                  1.9316557372671556E-001                  5.3845601355376020E+000                  0.0000000000000000E+000                                        0                                        0 
                                     110                  3.2468411101252644E+002                  2.0000000000000000E-002                  1.8583123793451004E-001                  5.2279580463834234E+000                  0.0000000000000000E+000                                        0                                        0 
                                     120                  4.3242758272292872E+002                  2.0000000000000000E-002                  1.7869174339286359E-001                  5.0746132367862860E+000                  0.0000000000000000E+000                                        0                                        0 
                                     130                  5.5412756452289534E+002                  2.0000000000000000E-002                  1.7175433297637305E-001                  4.9245410679200221E+000                  0.0000000000000000E+000                                        0                                        0 
                                     140                  6.9116498771340162E+002                  2.0000000000000000E-002                  1.6502114139495239E-001                  4.7776430717761489E+000                  0.0000000000000000E+000                                        0                                        0 
                                     150                  8.4492466239865394E+002                  2.0000000000000000E-002                  1.5849417499150545E-001                  4.6339276058569840E+000                  0.0000000000000000E+000                                        0                                        0 
                                     160                  1.0168527267773004E+003                  2.0000000000000000E-002                  1.5218255527875893E-001                  4.4934577061010570E+000                  0.0000000000000000E+000                                        0                                        0 
                                     170                  1.2087110280764336E+003                  2.0000000000000000E-002                  1.4608073891458076E-001                  4.3561475819995321E+000                  0.0000000000000000E+000                                        0                                        0 
                                     180                  1.4219258312141226E+003                  2.0000000000000000E-002                  1.4020325609007545E-001                  4.2222126791460779E+000                  0.0000000000000000E+000                                        0                                        0 
                                     190                  1.6581983399547155E+003                  2.0000000000000000E-002                  1.3454813217443151E-001                  4.0916711096814655E+000                  0.0000000000000000E+000                                        0                                        0 
                                     200                  1.9194757255201532E+003                  2.0000000000000000E-002                  1.2910777682029417E-001                  3.9644936204897485E+000                  0.0000000000000000E+000                                        0                                        0 
                                     210                  2.2081162011320721E+003                  2.0000000000000000E-002                  1.2386813931366310E-001                  3.8405673481375890E+000                  0.0000000000000000E+000                                        0                                        0 
                                     220                  2.5261234168465453E+003                  2.0000000000000000E-002                  1.1882745335112505E-001                  3.7199966166096843E+000                  0.0000000000000000E+000                                        0                                        0 
                                     230                  2.8758556946339304E+003                  2.0000000000000000E-002                  1.1398069549258252E-001                  3.6027656237428429E+000                  0.0000000000000000E+000                                        0                                        0 
                                     240                  3.2597408017863468E+003                  2.0000000000000000E-002                  1.0932556944846346E-001                  3.4888808837287999E+000                  0.0000000000000000E+000                                        0                                        0 
                                     250                  3.6801347014064586E+003                  2.0000000000000000E-002                  1.0486445879745714E-001                  3.3783963238265518E+000                  0.0000000000000000E+000                                        0                                        0 
                                     260                  4.1406865084285519E+003                  2.0000000000000000E-002                  1.0058696199614839E-001                  3.2710726784817239E+000                  0.0000000000000000E+000                                        0                                        0 
                                     270                  4.6439715308954956E+003                  2.0000000000000000E-002                  9.6497312726553666E-002                  3.1669884731186850E+000                  0.0000000000000000E+000                                        0                                        0 
                                     280                  5.1939067893146412E+003                  2.0000000000000000E-002                  9.2587881789287230E-002                  3.0659647381546988E+000                  0.0000000000000000E+000                                        0                                        0 
                                     290                  5.7932469134305966E+003                  2.0000000000000000E-002                  8.8864019657300106E-002                  2.9680891200326402E+000                  0.0000000000000000E+000                                        0                                        0 
                                     300                  6.4463015392911939E+003                  2.0000000000000000E-002                  8.5320612813103533E-002                  2.8732096165536638E+000                  0.0000000000000000E+000                                        0                                        0 
                                     310                  7.1573310314030714E+003                  2.0000000000000000E-002                  8.1954441441486711E-002                  2.7812260600549275E+000                  0.0000000000000000E+000                                        0                                        0 
                                     320                  7.9302798588342675E+003                  2.0000000000000000E-002                  7.8763424089337591E-002                  2.6920813073868888E+000                  0.0000000000000000E+000                                        0                                        0 
                                     330                  8.7696201792178599E+003                  2.0000000000000000E-002                  7.5745971967610598E-002                  2.6056814001134221E+000                  0.0000000000000000E+000                                        0                                        0 
                                     340                  9.6789460281361753E+003                  2.0000000000000000E-002                  7.2902970778162296E-002                  2.5220424514336601E+000                  0.0000000000000000E+000                                        0                                        0 
                                     350                  1.0662029799198926E+004                  2.0000000000000000E-002                  7.0234970317875428E-002                  2.4411378204976644E+000                  0.0000000000000000E+000                                        0                                        0 
