                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200614"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.0000182310758277E-002                  1.2408726410561729E-002                  5.0496999846769497E-001                  0.0000000000000000E+000                                        0                                        0 
                                       2                  2.2000000000000003E-005                  1.0000182310758277E-002                  1.2357178900465516E-002                  5.0497780124585090E-001                  0.0000000000000000E+000                                        0                                        0 
                                       3                  3.6400000000000004E-005                  1.0000182310758277E-002                  1.2301843203240501E-002                  5.0498591554779992E-001                  0.0000000000000000E+000                                        0                                        0 
                                       4                  5.3680000000000001E-005                  1.0000182310758277E-002                  1.2243193112982277E-002                  5.0499678855536800E-001                  0.0000000000000000E+000                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.0000182310758277E-002                  1.2181657756544699E-002                  5.0500728647282467E-001                  0.0000000000000000E+000                                        0                                        0 
                                       6                  9.9299199999999986E-005                  1.0000182310758277E-002                  1.2118035404816237E-002                  5.0502067148697205E-001                  0.0000000000000000E+000                                        0                                        0 
                                       7                  1.1977360954992611E-004                  1.0000182310758277E-002                  1.2071458733773167E-002                  5.0503182343901210E-001                  0.0000000000000000E+000                                        0                                        0 
                                       8                  1.3724287957033430E-004                  1.0000182310758277E-002                  1.2035508375540450E-002                  5.0504624049321922E-001                  0.0000000000000000E+000                                        0                                        0 
                                       9                  1.5820600359482415E-004                  1.0000182310758277E-002                  1.1996625914931263E-002                  5.0506172870121013E-001                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.8336175242421199E-004                  1.0000182310758277E-002                  1.1954806533390131E-002                  5.0507449800872883E-001                  0.0000000000000000E+000                                        0                                        0 
                                      11                  2.1354865101947738E-004                  1.0000182310758277E-002                  1.1910426904413806E-002                  5.0509169051941050E-001                  0.0000000000000000E+000                                        0                                        0 
                                      12                  2.4977292933379584E-004                  1.0000182310758277E-002                  1.1863345808771675E-002                  5.0510764750933823E-001                  0.0000000000000000E+000                                        0                                        0 
                                      13                  2.9324206331097802E-004                  1.0000182310758277E-002                  1.1813745686261007E-002                  5.0512540945492967E-001                  0.0000000000000000E+000                                        0                                        0 
                                      14                  3.2801737049272374E-004                  1.0000182310758277E-002                  1.1777510378678108E-002                  5.0513373758737090E-001                  0.0000000000000000E+000                                        0                                        0 
                                      15                  3.5652567494451375E-004                  1.0000182310758277E-002                  1.1750149378986082E-002                  5.0514641025304607E-001                  0.0000000000000000E+000                                        0                                        0 
                                      16                  3.8154664696362923E-004                  1.0000182310758277E-002                  1.1727593403151704E-002                  5.0515371867779646E-001                  0.0000000000000000E+000                                        0                                        0 
                                      17                  4.1157181338656774E-004                  1.0000182310758277E-002                  1.1703435899827901E-002                  5.0516817500188060E-001                  0.0000000000000000E+000                                        0                                        0 
                                      18                  4.4760201309409397E-004                  1.0000182310758277E-002                  1.1679142333734646E-002                  5.0518311183114928E-001                  0.0000000000000000E+000                                        0                                        0 
                                      19                  4.9083825274312542E-004                  1.0000182310758277E-002                  1.1657569637031604E-002                  5.0520115785077213E-001                  0.0000000000000000E+000                                        0                                        0 
                                      20                  5.2542724446235061E-004                  1.0000182310758277E-002                  1.1645245227175629E-002                  5.0522007050919904E-001                  0.0000000000000000E+000                                        0                                        0 
                                      21                  5.5309843783773083E-004                  1.0000182310758277E-002                  1.1638170279074621E-002                  5.0523307810686635E-001                  0.0000000000000000E+000                                        0                                        0 
                                      22                  5.7753346848320349E-004                  1.0000182310758277E-002                  1.1634106179074202E-002                  5.0524845434388599E-001                  0.0000000000000000E+000                                        0                                        0 
                                      23                  5.9751909966893871E-004                  1.0000182310758277E-002                  1.1632167761898507E-002                  5.0526490495254317E-001                  0.0000000000000000E+000                                        0                                        0 
                                      24                  6.1384292163236935E-004                  1.0000182310758277E-002                  1.1631178388855072E-002                  5.0527381956238893E-001                  0.0000000000000000E+000                                        0                                        0 
                                      25                  6.2789155446613565E-004                  1.0000182310758277E-002                  1.1630918976644086E-002                  5.0528350576578585E-001                  0.0000000000000000E+000                                        0                                        0 
                                      26                  6.4474991386665522E-004                  1.0000182310758277E-002                  1.1631257684646601E-002                  5.0529459185694925E-001                  0.0000000000000000E+000                                        0                                        0 
                                      27                  6.6497994514727870E-004                  1.0000182310758277E-002                  1.1632504933013696E-002                  5.0530792598964946E-001                  0.0000000000000000E+000                                        0                                        0 
                                      28                  6.8925598268402687E-004                  1.0000182310758277E-002                  1.1634923759865759E-002                  5.0532143215378988E-001                  0.0000000000000000E+000                                        0                                        0 
                                      29                  7.1838722772812468E-004                  1.0000182310758277E-002                  1.1639250060453967E-002                  5.0534464754693342E-001                  0.0000000000000000E+000                                        0                                        0 
                                      30                  7.4169222376340295E-004                  1.0000182310758277E-002                  1.1643105152885934E-002                  5.0535721493099073E-001                  0.0000000000000000E+000                                        0                                        0 
                                      31                  7.6965821900573694E-004                  1.0000182310758277E-002                  1.1648624342832386E-002                  5.0537775678416741E-001                  0.0000000000000000E+000                                        0                                        0 
                                      32                  8.0321741329653768E-004                  1.0000182310758277E-002                  1.1655789817122045E-002                  5.0539742052076431E-001                  0.0000000000000000E+000                                        0                                        0 
                                      33                  8.3052816884340408E-004                  1.0000182310758277E-002                  1.1662012691578801E-002                  5.0541431293863048E-001                  0.0000000000000000E+000                                        0                                        0 
                                      34                  8.5501941938609437E-004                  1.0000182310758277E-002                  1.1667737366222980E-002                  5.0542756862763649E-001                  0.0000000000000000E+000                                        0                                        0 
