                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200613"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      485                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  3.5759202916572810E-004                  5.8001575858868215E-001                  1.4871349590172772E-001                  8.5825057025640861E-001                  6.4859275035716624E-001                  5.8001575858868215E-001                  1.4871349590172772E-001                  8.5825057025640861E-001                  6.4859275035716624E-001                 -2.1194608522005041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194608522005041E+001                 -2.1194608522005041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4334284323648840E+000                 -1.9062727907211807E+000                 -2.9673442363773200E-001                  3.0313661182720475E+000                  3.3064606742073889E-003                  1.3198546896794916E+001                 -1.5595338482881274E-001                  5.2911959714856085E+000                  8.4791143525916401E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                       10 
                                       2                                      485                  2.2000000000000003E-005                 -4.9208187539523749E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  1.7598918828648773E-004                  6.7611373261194063E-001                  3.8616712316422824E-001                  9.4192885140941740E-001                  7.1305821331394492E-001                  6.7611373261194063E-001                  3.8616712316422824E-001                  9.4192885140941740E-001                  7.1305821331394492E-001                 -2.1194604590821783E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194604590821783E+001                 -2.1194604590821783E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4329731082695751E+000                 -1.9080806658008509E+000                 -2.9672771298694850E-001                  3.0313526969704805E+000                  4.0449654867985652E-003                  1.3198557625444133E+001                 -1.5593156868126276E-001                  5.2911862579124369E+000                  8.4791851013967989E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        6 
                                       3                                      485                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  1.0444962102147558E-003                  6.0087810430455102E-001                  2.4492789306589233E-001                  8.2099629982975819E-001                  6.4626881929396818E-001                  6.0087810430455102E-001                  2.4492789306589233E-001                  8.2099629982975819E-001                  6.4626881929396818E-001                 -2.1194600124232103E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194600124232103E+001                 -2.1194600124232103E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4324823323126838E+000                 -1.9100298127050037E+000                 -2.9672073452524256E-001                  3.0313387400470688E+000                  3.5100274205256523E-003                  1.3198583597126071E+001                 -1.5585825614593807E-001                  5.2911449617627895E+000                  8.4794656923443112E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        8 
                                       4                                      485                  5.3680000000000001E-005                 -4.7624562618571247E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  3.1734870885479253E-004                  4.9667530933167608E-001                  3.5675514292562854E-001                  6.4625593359590283E-001                  5.1266213595019428E-001                  4.9667530933167608E-001                  3.5675514292562854E-001                  6.4625593359590283E-001                  5.1266213595019428E-001                 -2.1194594539891384E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194594539891384E+001                 -2.1194594539891384E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4319587850032058E+000                 -1.9121053002872548E+000                 -2.9671138369741251E-001                  3.0313200383914087E+000                  3.9249825273854492E-003                  1.3198602517114029E+001                 -1.5578354263162608E-001                  5.2910963971189169E+000                  8.4797836505552793E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        6 
                                       5                                      485                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  5.4020845435928751E-005                  8.1399406067100766E-001                  3.7512138998899924E-001                  2.9260923241776166E-001                  1.9833580238065296E-001                  8.1399406067100766E-001                  3.7512138998899924E-001                  2.9260923241776166E-001                  1.9833580238065296E-001                 -2.1194590282512326E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194590282512326E+001                 -2.1194590282512326E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4314071945063684E+000                 -1.9142936061588485E+000                 -2.9670235563953473E-001                  3.0313019822756528E+000                  3.1626155955625642E-003                  1.3198628950030002E+001                 -1.5573685406288290E-001                  5.2910785888941456E+000                  8.4799201420160819E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        8 
                                       6                                      485                  9.9299199999999986E-005                 -4.6040937697618753E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  2.3646086746687573E-004                  7.6663936046993608E-001                  4.9051190828789848E-001                  4.5508648113606792E-001                  2.4648174138477286E-001                  7.6663936046993608E-001                  4.9051190828789848E-001                  4.5508648113606792E-001                  2.4648174138477286E-001                 -2.1194583557754495E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194583557754495E+001                 -2.1194583557754495E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4308328949785656E+000                 -1.9165677829754963E+000                 -2.9669084499225229E-001                  3.0312789609810880E+000                  3.3654243432203494E-003                  1.3198648884753723E+001                 -1.5561144151132195E-001                  5.2909869186576506E+000                  8.4805037668459493E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                       12 
                                       7                                      485                  1.1977360954992611E-004                 -4.6887886137632160E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  1.2000391388870773E-004                  5.5097932349710632E-001                  1.5427436958195792E-001                  7.3923582736488658E-001                  6.3376557879854245E-001                  5.5097932349710632E-001                  1.5427436958195792E-001                  7.3923582736488658E-001                  6.3376557879854245E-001                 -2.1194578521961255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194578521961255E+001                 -2.1194578521961255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4304099842148355E+000                 -1.9182402459135091E+000                 -2.9668125493379893E-001                  3.0312597808641812E+000                  3.4115123662727936E-003                  1.3198673213250126E+001                 -1.5547224907845572E-001                  5.2908870659266016E+000                  8.4811417197137140E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                       10 
                                       8                                      485                  1.3724287957033430E-004                 -4.7577252422827945E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  2.3646092391529632E-004                  9.4192885140941740E-001                  2.8553941619453382E-001                  2.2294609226833112E-001                  1.0891636202925400E-001                  9.4192885140941740E-001                  2.8553941619453382E-001                  2.2294609226833112E-001                  1.0891636202925400E-001                 -2.1194570773039668E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1194570773039668E+001                 -2.1194570773039668E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4300799567780405E+000                 -1.9195355605589590E+000                 -2.9666885738293342E-001                  3.0312349857624503E+000                  5.1734957847523917E-003                  1.3198697684190346E+001                 -1.5543498945907272E-001                  5.2908757506663591E+000                  8.4812360963409428E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        6 
                                       9                                      485                  1.5820600359482415E-004                 -4.6785439962351694E+000                  1.0000182310758277E-002                  3.1298686368143645E+001                 -9.8999999999999986E+001                  3.8690819197294784E-004                  9.4429823023804405E-001                  3.2708640713114923E-001                  1.3267775962596079E-001                  4.4710551298934573E-002                  9.4429823023804405E-001                  3.2708640713114923E-001                  1.3267775962596079E-001                  4.4710551298934573E-002                 -2.1194562537113832E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1194562537113832E+001                 -2.1194562537113832E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4297219669514409E+000                 -1.9209408833335369E+000                 -2.9665553911702386E-001                  3.0312083492306314E+000                  4.6358709114686508E-003                  1.3198711225117480E+001                 -1.5548497896099933E-001                  5.2909307339578264E+000                  8.4809123749819659E-001                  8.7985426035237346E-001                  1.2198718692960793E+000                  7.5970000000000004E-001                  2.4017443788575957E-001                  1.7208036628528029E-005                  4.6802246398865866E-005                  1.7208036628528029E-005                  4.6802246398865873E-005                  7.5971385014830606E-003                  2.4017881652414847E-003                                        0                                        0                                        8 
