                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200720"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  3.9961877356005411E+004                  1.9999999349645716E+000                  9.2376835083593125E+000                  4.0702015435292545E+000                  0.0000000000000000E+000                                        0                                        0 
                                       2                  8.7916130183211906E+004                  1.9999998628428430E+000                  8.7359158126058212E+000                  3.9471076571295227E+000                  0.0000000000000000E+000                                        0                                        0 
                                       3                  1.4047400354948692E+005                  1.9999997903516551E+000                  8.2720785783285162E+000                  3.8278806100808906E+000                  0.0000000000000000E+000                                        0                                        0 
                                       4                  1.8887223349056544E+005                  1.9999997290513620E+000                  7.8908022499066073E+000                  3.7298365127976258E+000                  0.0000000000000000E+000                                        0                                        0 
                                       5                  2.4665678372638061E+005                  1.9999996610241391E+000                  7.5026887866288625E+000                  3.6254906262526694E+000                  0.0000000000000000E+000                                        0                                        0 
                                       6                  3.1281159941488830E+005                  1.9999995890452320E+000                  7.1133095436704377E+000                  3.5200313688891067E+000                  0.0000000000000000E+000                                        0                                        0 
                                       7                  3.7548844978542230E+005                  1.9999995262704104E+000                  6.7936550691536004E+000                  3.4311537023525513E+000                  0.0000000000000000E+000                                        0                                        0 
                                       8                  4.5062550925497961E+005                  1.9999994562123751E+000                  6.4632195713413871E+000                  3.3367633288333671E+000                  0.0000000000000000E+000                                        0                                        0 
                                       9                  5.3642549781803961E+005                  1.9999993821970501E+000                  6.1485146653439182E+000                  3.2420392962396369E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  6.1756959683914494E+005                  1.9999993174968604E+000                  5.8886989218194694E+000                  3.1628595718946300E+000                  0.0000000000000000E+000                                        0                                        0 
                                      11                  7.1472993904469092E+005                  1.9999992451118842E+000                  5.6257537238258646E+000                  3.0793355267575406E+000                  0.0000000000000000E+000                                        0                                        0 
                                      12                  8.2498422965176986E+005                  1.9999991687118799E+000                  5.3760565090572667E+000                  2.9967005048630280E+000                  0.0000000000000000E+000                                        0                                        0 
                                      13                  9.2774130621660769E+005                  1.9999991024934198E+000                  5.1801469173602088E+000                  2.9291473574240516E+000                  0.0000000000000000E+000                                        0                                        0 
                                      14                  1.0510497980944130E+006                  1.9999990276529562E+000                  4.9877660149688241E+000                  2.8582236220727379E+000                  0.0000000000000000E+000                                        0                                        0 
                                      15                  1.1902092292288886E+006                  1.9999989482978053E+000                  4.8098486185401557E+000                  2.7892182505761820E+000                  0.0000000000000000E+000                                        0                                        0 
                                      16                  1.3163552271146884E+006                  1.9999988806042066E+000                  4.6835305747425764E+000                  2.7350153904004313E+000                  0.0000000000000000E+000                                        0                                        0 
                                      17                  1.4394581124919129E+006                  1.9999988175285761E+000                  4.5837840786122381E+000                  2.6887876352368671E+000                  0.0000000000000000E+000                                        0                                        0 
