                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200720"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  2.0000000000000000E+000                  1.3996763314664554E+003                  5.7290353735797694E+001                  0.0000000000000000E+000                                        0                                        0 
                                      10                  2.5958682111999992E-004                  2.0000000000000000E+000                  1.2535275250910481E+003                  5.7227393721500562E+001                  0.0000000000000000E+000                                        0                                        0 
                                      20                  1.8668799962237360E-003                  2.0000000000000000E+000                  9.3307106245294472E+002                  5.7018876457913720E+001                  0.0000000000000000E+000                                        0                                        0 
                                      30                  1.1818815689988476E-002                  2.0000000000000000E+000                  7.0876859624905694E+002                  5.6682013368243751E+001                  0.0000000000000000E+000                                        0                                        0 
                                      40                  7.3438578398454205E-002                  2.0000000000000000E+000                  6.3722864934493805E+002                  5.6394026394022440E+001                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.5497190750010674E-001                  2.0000000000000000E+000                  6.2656581994920407E+002                  5.6261069755389258E+001                  0.0000000000000000E+000                                        0                                        0 
                                      60                  2.8173257176583335E+000                  2.0000000000000000E+000                  6.2450491155928057E+002                  5.6157045732996671E+001                  0.0000000000000000E+000                                        0                                        0 
                                      70                  1.7444397846610439E+001                  2.0000000000000000E+000                  6.1574898458423286E+002                  5.5633066018600864E+001                  0.0000000000000000E+000                                        0                                        0 
                                      80                  1.0801137310051506E+002                  2.0000000000000000E+000                  5.6860750471824656E+002                  5.2748220276272548E+001                  0.0000000000000000E+000                                        0                                        0 
                                      90                  6.0291397404396150E+002                  2.0000000000000000E+000                  4.1858899546821891E+002                  4.2995028760588383E+001                  0.0000000000000000E+000                                        0                                        0 
                                     100                  1.7221152612738135E+003                  2.0000000000000000E+000                  2.8407486288600836E+002                  3.3258131988418725E+001                  0.0000000000000000E+000                                        0                                        0 
                                     110                  3.7555483202073478E+003                  2.0000000000000000E+000                  1.9484612152296216E+002                  2.5953783617109689E+001                  0.0000000000000000E+000                                        0                                        0 
                                     120                  7.6772967261683843E+003                  2.0000000000000000E+000                  1.3156068355077628E+002                  2.0150326672730465E+001                  0.0000000000000000E+000                                        0                                        0 
                                     130                  1.4815324275027060E+004                  2.0000000000000000E+000                  8.9660184101457503E+001                  1.5778460142534472E+001                  0.0000000000000000E+000                                        0                                        0 
                                     140                  2.8609742461141108E+004                  2.0000000000000000E+000                  6.0282646565269083E+001                  1.2292278607753948E+001                  0.0000000000000000E+000                                        0                                        0 
                                     150                  5.4683832301253729E+004                  2.0000000000000000E+000                  4.0343697295678815E+001                  9.6005561883102892E+000                  0.0000000000000000E+000                                        0                                        0 
                                     160                  1.0513844468024833E+005                  2.0000000000000000E+000                  2.6701334047523449E+001                  7.4888831216342719E+000                  0.0000000000000000E+000                                        0                                        0 
                                     170                  2.0417928224573989E+005                  2.0000000000000000E+000                  1.7457360098711504E+001                  5.8337177852940032E+000                  0.0000000000000000E+000                                        0                                        0 
                                     180                  4.0228407466244075E+005                  2.0000000000000000E+000                  1.1225631205434494E+001                  4.5364767602632137E+000                  0.0000000000000000E+000                                        0                                        0 
                                     183                  5.0168015677553415E+005                  2.0000000000000000E+000                  9.7197424664862524E+000                  4.1859050363682426E+000                  0.0000000000000000E+000                                        0                                        0 
