                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200609"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                       1                  7.5852787893281029E+003                  9.9999993853520197E-001                  9.1799323376918096E+000                  5.1133919247616353E+000                  0.0000000000000000E+000                                        0                                        0 
                                       2                  1.6687613336521827E+004                  9.9999987017216230E-001                  8.7015917998646781E+000                  4.9645291126326496E+000                  0.0000000000000000E+000                                        0                                        0 
                                       3                  2.6631131158326043E+004                  9.9999980144366263E-001                  8.2352699351297325E+000                  4.8194697510767242E+000                  0.0000000000000000E+000                                        0                                        0 
                                       4                  3.5329307417991688E+004                  9.9999974620726195E-001                  7.8726955486108023E+000                  4.7045140749536953E+000                  0.0000000000000000E+000                                        0                                        0 
                                       5                  4.3786906422254797E+004                  9.9999969608791384E-001                  7.5619534123157548E+000                  4.6019846217796676E+000                  0.0000000000000000E+000                                        0                                        0 
                                       6                  5.3936025227370526E+004                  9.9999963957761395E-001                  7.2202418716969481E+000                  4.4898615100013597E+000                  0.0000000000000000E+000                                        0                                        0 
                                       7                  6.6072438209265252E+004                  9.9999957662769468E-001                  6.8612774193090340E+000                  4.3688926596663231E+000                  0.0000000000000000E+000                                        0                                        0 
                                       8                  7.7143807613222787E+004                  9.9999952352728616E-001                  6.5655207646330780E+000                  4.2684892952133522E+000                  0.0000000000000000E+000                                        0                                        0 
                                       9                  9.0429450897971808E+004                  9.9999946395474126E-001                  6.2488354358885303E+000                  4.1593093167971587E+000                  0.0000000000000000E+000                                        0                                        0 
                                      10                  1.0589727685515383E+005                  9.9999939963122175E-001                  5.9274317080988368E+000                  4.0450497172797792E+000                  0.0000000000000000E+000                                        0                                        0 
                                      11                  1.1984988728756008E+005                  9.9999934610505592E-001                  5.6656753907630355E+000                  3.9514579848747018E+000                  0.0000000000000000E+000                                        0                                        0 
                                      12                  1.3659301980644756E+005                  9.9999928613063838E-001                  5.3900799825727947E+000                  3.8497572690468522E+000                  0.0000000000000000E+000                                        0                                        0 
                                      13                  1.5598821261253188E+005                  9.9999922173700195E-001                  5.1065142861037538E+000                  3.7439909006409864E+000                  0.0000000000000000E+000                                        0                                        0 
                                      14                  1.7346534887359806E+005                  9.9999916827442015E-001                  4.8777330151605103E+000                  3.6574975670594210E+000                  0.0000000000000000E+000                                        0                                        0 
                                      15                  1.9443791238687752E+005                  9.9999910840928963E-001                  4.6358321161776193E+000                  3.5636071062170971E+000                  0.0000000000000000E+000                                        0                                        0 
                                      16                  2.1873145969130134E+005                  9.9999904419542329E-001                  4.3909889943641529E+000                  3.4659835114241431E+000                  0.0000000000000000E+000                                        0                                        0 
                                      17                  2.4063582605820533E+005                  9.9999899085702948E-001                  4.1923566345983829E+000                  3.3861212245744419E+000                  0.0000000000000000E+000                                        0                                        0 
                                      18                  2.6692106569849019E+005                  9.9999893115445149E-001                  3.9811637591383731E+000                  3.2994796574529839E+000                  0.0000000000000000E+000                                        0                                        0 
                                      19                  2.9736483043604571E+005                  9.9999886717002207E-001                  3.7653669255290247E+000                  3.2095206614479075E+000                  0.0000000000000000E+000                                        0                                        0 
                                      20                  3.2485585374281951E+005                  9.9999881401321833E-001                  3.5951215125572440E+000                  3.1358118905082355E+000                  0.0000000000000000E+000                                        0                                        0 
                                      21                  3.5784508171094797E+005                  9.9999875450783915E-001                  3.4105471366719997E+000                  3.0559132939652978E+000                  0.0000000000000000E+000                                        0                                        0 
                                      22                  3.9608477343396406E+005                  9.9999869074025127E-001                  3.2227709011423360E+000                  2.9729275867953602E+000                  0.0000000000000000E+000                                        0                                        0 
                                      23                  4.3066055023487727E+005                  9.9999863773654207E-001                  3.0741914109042954E+000                  2.9048841937319465E+000                  0.0000000000000000E+000                                        0                                        0 
