                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190606"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                                    log_L                                 log_Teff                                    log_R                                    log_g                              num_retries                              num_backups 
                                     471                  1.2275000469593370E+010                  9.9003475370387406E-001                  1.0751885458887992E+006                  6.0314846291437281E+000                  1.3458976759268981E+000                  3.6610219817052760E+000                  8.7416371100552370E-001                  2.6852123715318501E+000                                        0                                        0 
                                     472                  1.2275645582720903E+010                  9.9000012913334712E-001                  6.4511312753327959E+005                  5.8096358795273719E+000                  1.3470784154655919E+000                  3.6609787539125334E+000                  8.7484053636035508E-001                  2.6838435319383449E+000                                        1                                        0 
                                     473                  1.2276419718473944E+010                  9.8995840009895097E-001                  7.7413575303993549E+005                  5.8888171255749970E+000                  1.3510399918672389E+000                  3.6607829794868620E+000                  8.7721287341252230E-001                  2.6790805517037475E+000                                        1                                        0 
                                     474                  1.2277348681377592E+010                  9.8990758749988950E-001                  9.2896290364792268E+005                  5.9679983716226213E+000                  1.3572916898308840E+000                  3.6604539229657753E+000                  8.8099683543651752E-001                  2.6714903356102080E+000                                        1                                        0 
                                     475                  1.2277886834258232E+010                  9.8987746187924719E-001                  5.3815288063867018E+005                  5.7309056693205909E+000                  1.3588002774915264E+000                  3.6603796411331500E+000                  8.8189969293209014E-001                  2.6696714036379423E+000                                        2                                        0 
                                     476                  1.2278532617714996E+010                  9.8984110875054743E-001                  6.4578345676640421E+005                  5.8100869153682151E+000                  1.3620206450158094E+000                  3.6602218645880096E+000                  8.8382542978451151E-001                  2.6658039802285001E+000                                        2                                        0 
                                     477                  1.2279307557863115E+010                  9.8979696341914614E-001                  7.7494014811968501E+005                  5.8892681614158402E+000                  1.3671720630077437E+000                  3.6599593764800558E+000                  8.8692611499638674E-001                  2.6595832405330606E+000                                        2                                        0 
                                     478                  1.2280237486040859E+010                  9.8974297047995774E-001                  9.2992817774362199E+005                  5.9684494074634653E+000                  1.3736622759107999E+000                  3.6596129277049072E+000                  8.9086411899821161E-001                  2.6516835413321225E+000                                        2                                        0 
                                     479                  1.2280776058200403E+010                  9.8971093858049297E-001                  5.3857215954390855E+005                  5.7312438996344248E+000                  1.3748108863029942E+000                  3.6595712718673670E+000                  8.9152173586938865E-001                  2.6503542519180301E+000                                        3                                        0 
                                     480                  1.2281422344791857E+010                  9.8967233886045980E-001                  6.4628659145269031E+005                  5.8104251456820499E+000                  1.3784152720756420E+000                  3.6593909400718805E+000                  8.9368459234668673E-001                  2.6460116007124075E+000                                        3                                        0 
                                     481                  1.2282197888701601E+010                  9.8962539819679807E-001                  7.7554390974322835E+005                  5.8896063917296750E+000                  1.3838313378900848E+000                  3.6591131956759666E+000                  8.9694811404573516E-001                  2.6394639580170676E+000                                        3                                        0 
                                     482                  1.2283128541393293E+010                  9.8956792966513107E-001                  9.3065269169187394E+005                  5.9687876377772993E+000                  1.3899685172591412E+000                  3.6587965390983865E+000                  9.0065001688542334E-001                  2.6320349316926519E+000                                        3                                        0 
                                     483                  1.2283899227313194E+010                  9.8951924596591823E-001                  7.7068591990171361E+005                  5.8868774246862179E+000                  1.3932345153545442E+000                  3.6586077619813007E+000                  9.0266057016729684E-001                  2.6279924586502661E+000                                        3                                        0 
                                     484                  1.2284599443934683E+010                  9.8947447090593466E-001                  7.0021662148999702E+005                  5.8452324156773843E+000                  1.3966553297800974E+000                  3.6584373143506652E+000                  9.0471187264134478E-001                  2.6238702017332778E+000                                        3                                        0 
                                     485                  1.2285439703880472E+010                  9.8942005712900383E-001                  8.4025994578799640E+005                  5.9244136617250094E+000                  1.4025719533851637E+000                  3.6581257392915645E+000                  9.0829333456207895E-001                  2.6166833942509871E+000                                        3                                        0 
                                     486                  1.2285943859847946E+010                  9.8938668518644612E-001                  5.0415596747279784E+005                  5.7025649121086532E+000                  1.4036489733539907E+000                  3.6580704824902344E+000                  9.0894235814915281E-001                  2.6153706986018825E+000                                        4                                        0 
                                     487                  1.2286548847008915E+010                  9.8934647803012854E-001                  6.0498716096735734E+005                  5.7817461581562775E+000                  1.4064636701892039E+000                  3.6579227804640979E+000                  9.1064511061903297E-001                  2.6119475442423332E+000                                        4                                        0 
                                     488                  1.2287274831602076E+010                  9.8929772299869090E-001                  7.2598459316082881E+005                  5.8609274042039026E+000                  1.4105482519570531E+000                  3.6577050813973484E+000                  9.1312279963645548E-001                  2.6069707636318138E+000                                        4                                        0 
                                     489                  1.2288146013113869E+010                  9.8923832333791728E-001                  8.7118151179299457E+005                  5.9401086502515277E+000                  1.4171586811060493E+000                  3.6573366153714986E+000                  9.1716494626265344E-001                  2.5988603935788901E+000                                        4                                        0 
                                     490                  1.2288639389834999E+010                  9.8920384614129298E-001                  4.9337672113091598E+005                  5.6931786544303877E+000                  1.4180919313643610E+000                  3.6572561966090551E+000                  9.1779240891669622E-001                  2.5975903318604732E+000                                        5                                        0 
                                     491                  1.2289231441900356E+010                  9.8916232311693197E-001                  5.9205206535709917E+005                  5.7723599004780128E+000                  1.4209547969763738E+000                  3.6571020137787515E+000                  9.1953220738331043E-001                  2.5940925045100096E+000                                        5                                        0 
                                     492                  1.2289941904378784E+010                  9.8911196252197076E-001                  7.1046247842851910E+005                  5.8515411465256379E+000                  1.4252984939008810E+000                  3.6568666338897531E+000                  9.2217481562356174E-001                  2.5887851765066912E+000                                        5                                        0 
                                     493                  1.2290794459352898E+010                  9.8905054672535408E-001                  8.5255497411422280E+005                  5.9307223925732622E+000                  1.4312284447332213E+000                  3.6565495288442702E+000                  9.2577400113069674E-001                  2.5815598385051728E+000                                        5                                        0 
                                     494                  1.2291258783513794E+010                  9.8901635393870257E-001                  4.6432416089540697E+005                  5.6668212825689315E+000                  1.4316554311915068E+000                  3.6565410061047325E+000                  9.2600453983891473E-001                  2.5810837466940666E+000                                        6                                        0 
                                     495                  1.2291815972506868E+010                  9.8897525900423577E-001                  5.5718899307448836E+005                  5.7460025286165566E+000                  1.4344363703465095E+000                  3.6563957662012943E+000                  9.2768548922329297E-001                  2.5777038020416385E+000                                        6                                        0 
                                     496                  1.2292484599298555E+010                  9.8892543378494102E-001                  6.6862679168938589E+005                  5.8251837746641817E+000                  1.4387853254009904E+000                  3.6561623334977988E+000                  9.3032683215752410E-001                  2.5723992355824237E+000                                        6                                        0 
