                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190703"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                                    log_L                               luminosity                        luminosity_ergs_s                                 log_Teff                              effective_T                                    log_R                                   radius                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                              num_retries                              num_backups 
                                    6087                  1.2516427009670815E+010                  5.1408415935445906E-001                  2.5473581183045990E+003                  3.4060900041982429E+000                  3.0103394669434804E+000                  1.0240931634940666E+003                  3.9343611155115052E+036                  3.5916078698264937E+000                  3.9048815969967336E+003                  1.8452128302713797E+000                  7.0018504448828864E+001                  4.5849791488379688E-001                  7.9422432927969879E+010                  5.2153838732892455E-015                  7.8852666341531931E-007                  6.6148098424939023E-009                  2.4925835280271830E-007                  3.7683230501097135E+001                  6.6148098424939023E-009                  5.5879310730586910E-003                                        0                                        0 
                                    6088                  1.2516430066500557E+010                  5.1377109099079665E-001                  3.0568297419655187E+003                  3.4852712502458676E+000                  3.0114294796446934E+000                  1.0266667088967297E+003                  3.9442481622394558E+036                  3.5938084145113205E+000                  3.9247176147053965E+003                  1.8413567472523324E+000                  6.9399564835220318E+001                  4.6594552252817595E-001                  8.5740938459786957E+010                  5.7301996331161039E-015                  7.9872662253282330E-007                  7.1749407814455637E-009                  2.7146518794056094E-007                  3.7836534351855583E+001                  7.1749407814455637E-009                  5.6549787632630723E-003                                        0                                        0 
                                    6089                  1.2516433734696247E+010                  5.1339454543650442E-001                  3.6681956903586224E+003                  3.5644524962934923E+000                  3.0129462227892141E+000                  1.0302585391267614E+003                  3.9580472556171918E+036                  3.5967947753081666E+000                  3.9517983476884915E+003                  1.8361423972309008E+000                  6.8571302237711862E+001                  4.7605580914687379E-001                  9.6921257169923248E+010                  6.6327830839914815E-015                  8.1272887130085507E-007                  8.1619810995153808E-009                  3.1052234015018791E-007                  3.8046295706251200E+001                  8.1619810995153808E-009                  5.7200404857416422E-003                                        0                                        0 
                                    6090                  1.2516435935613661E+010                  5.1316789661968609E-001                  2.2009174142151733E+003                  3.3426037466771361E+000                  3.0136313540537198E+000                  1.0318851299141415E+003                  3.9642962921041489E+036                  3.5988653914750013E+000                  3.9706845998530334E+003                  1.8323437305294836E+000                  6.7974141388709953E+001                  4.8346137178537718E-001                  1.2486352712379817E+011                  8.6936690039659723E-015                  8.2308691443540264E-007                  1.0563351220370614E-008                  4.0351068934119652E-007                  3.8200412480389602E+001                  1.0563351220370614E-008                  5.8183679039387481E-003                                        1                                        0 
                                    6091                  1.2516438576714558E+010                  5.1289633680034474E-001                  2.6411008970582079E+003                  3.4217849927247608E+000                  3.0144249337350124E+000                  1.0337724016361331E+003                  3.9715468126056958E+036                  3.6015661024327170E+000                  3.9954537007327931E+003                  1.8273390984546976E+000                  6.7195331134277609E+001                  4.9324075376976112E-001                  1.5107018524069388E+011                  1.0759087575371922E-014                  8.3693048535017425E-007                  1.2856682643737574E-008                  4.9375683050386002E-007                  3.8405943773196462E+001                  1.2856682643737574E-008                  5.8752769632447119E-003                                        1                                        0 
                                    6092                  1.2516441746035635E+010                  5.1257148071616165E-001                  3.1693210764698492E+003                  3.5009662387723854E+000                  3.0154739822294396E+000                  1.0362725214218256E+003                  3.9811517727983694E+036                  3.6060490078948950E+000                  4.0369094484080979E+003                  1.8188978117775563E+000                  6.5901881179914483E+001                  5.0984816839729874E-001                  1.9542585021458963E+011                  1.4459584230769884E-014                  8.6090428219885936E-007                  1.6797378059058392E-008                  6.5103666329324408E-007                  3.8759434628550459E+001                  1.6797378059058392E-008                  6.0051677562462207E-003                                        1                                        0 
                                    6093                  1.2516445549220926E+010                  5.1218496653157974E-001                  3.8031852917638189E+003                  3.5801474848200106E+000                  3.0167581641086101E+000                  1.0393412498563100E+003                  3.9929412136979717E+036                  3.6130831184022183E+000                  4.1028261831197888E+003                  1.8054716817024941E+000                  6.3895707260888805E+001                  5.3637281707261464E-001                  1.9840762120217615E+011                  1.5594368042233056E-014                  9.0039981769275666E-007                  1.7320837842981778E-008                  6.8124057915683563E-007                  3.9331793984439720E+001                  1.7320837842981778E-008                  6.1406384888556464E-003                                        1                                        0 
                                    6094                  1.2516447666460993E+010                  5.1197355484335472E-001                  2.1172400664758707E+003                  3.3257701039498433E+000                  3.0171632416866716E+000                  1.0403111222817552E+003                  3.9966672695820469E+036                  3.6182003690588966E+000                  4.1514553282673969E+003                  1.7954397191781688E+000                  6.2436668109539099E+001                  5.5625744384078613E-001                  1.8036623188537585E+011                  1.4829766832081025E-014                  9.3103537658634158E-007                  1.5929483285299770E-008                  6.3340705497458426E-007                  3.9764210616898431E+001                  1.5929483285299773E-008                  6.3905393308571670E-003                                        2                                        0 
                                    6095                  1.2516448936805033E+010                  5.1184901655469139E-001                  1.2703440398855223E+003                  3.1039213543334871E+000                  3.0172937184431046E+000                  1.0406237138953309E+003                  3.9978681840430816E+036                  3.6218776992668742E+000                  4.1867564616879336E+003                  1.7881502971404295E+000                  6.1397444773995943E+001                  5.7073063232059817E-001                  1.5327258160567917E+011                  1.3021323338815864E-014                  9.5394046017232727E-007                  1.3651028854252275E-008                  5.4713987453962895E-007                  4.0081454157812566E+001                  1.3651028854252275E-008                  6.6158740402139909E-003                                        3                                        0 
                                    6096                  1.2516449699011456E+010                  5.1177540007974187E-001                  7.6220642393131345E+002                  2.8820726047171306E+000                  3.0173279421316903E+000                  1.0407057213503726E+003                  3.9981832402838613E+036                  3.6243449099073719E+000                  4.2106089563140813E+003                  1.7832329877037267E+000                  6.0706191518864514E+001                  5.8050278447597059E-001                  1.3810375547423550E+011                  1.1994374458277395E-014                  9.6969163044768479E-007                  1.2370125112658055E-008                  4.9846012751262335E-007                  4.0296409976234315E+001                  1.2370125112658058E-008                  6.8052747198537773E-003                                        4                                        0 
                                    6097                  1.2516450613659164E+010                  5.1168799046044822E-001                  9.1464770871757617E+002                  2.9612538507647557E+000                  3.0173528379737218E+000                  1.0407653813022143E+003                  3.9984124418868465E+036                  3.6274690362666435E+000                  4.2410074587824438E+003                  1.7769971829062006E+000                  5.9840771341734104E+001                  5.9290021161219197E-001                  1.2072589333712750E+011                  1.0782255147311685E-014                  9.9009725696359300E-007                  1.0890807147376895E-008                  4.4186978196601929E-007                  4.0573610515321292E+001                  1.0890807147376895E-008                  6.8969234752221222E-003                                        4                                        0 
                                    6098                  1.2516451162447790E+010                  5.1163625399510071E-001                  5.4878862523054568E+002                  2.7394051011483991E+000                  3.0173614441160748E+000                  1.0407860057037410E+003                  3.9984916767126317E+036                  3.6297740700062660E+000                  4.2635766002241071E+003                  1.7723914184981320E+000                  5.9209503386537619E+001                  6.0206782695407224E-001                  1.1109614734062453E+011                  1.0129869333827301E-014                  1.0054544968610751E-006                  1.0075549104964939E-008                  4.1085723183773742E-007                  4.0778504483903404E+001                  1.0075549104964939E-008                  7.0774598334466957E-003                                        5                                        0 
                                    6099                  1.2516451820994141E+010                  5.1157480140245248E-001                  6.5854635027665483E+002                  2.8185863471960242E+000                  3.0173595766667938E+000                  1.0407815303742575E+003                  3.9984744833918220E+036                  3.6324034856758360E+000                  4.2894685273838149E+003                  1.7671316534343513E+000                  5.8496738617520357E+001                  6.1253519087061215E-001                  9.9822764907522476E+010                  9.3188778429284158E-015                  1.0232627572408755E-006                  9.1075660384613973E-009                  3.7353941673248942E-007                  4.1015000096285881E+001                  9.1075660384613973E-009                  7.1685202238370022E-003                                        5                                        0 
                                    6100                  1.2516452611249760E+010                  5.1150192003766115E-001                  7.9025562033198571E+002                  2.8977675932436489E+000                  3.0173588449217927E+000                  1.0407797767575935E+003                  3.9984677463473222E+036                  3.6361440302276131E+000                  4.3265729451219668E+003                  1.7596501984582971E+000                  5.7497663710384430E+001                  6.2743622476992256E-001                  8.6905703087944031E+010                  8.3900372719274718E-015                  1.0491668293230718E-006                  7.9972995327367116E-009                  3.3070924475129931E-007                  4.1353375631779215E+001                  7.9972995327367116E-009                  7.3804744033368862E-003                                        5                                        0 
