                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190606"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                                    log_L                                 log_Teff                                    log_R                                    log_g                              num_retries                              num_backups 
                                    6087                  1.2516427009670815E+010                  5.1408415935445906E-001                  2.5473581183045990E+003                  3.4060900041982429E+000                  3.0103394669434804E+000                  3.5916078698264937E+000                  1.8452128302713797E+000                  4.5849791488379688E-001                                        0                                        0 
                                    6088                  1.2516430066500557E+010                  5.1377109099079665E-001                  3.0568297419655187E+003                  3.4852712502458676E+000                  3.0114294796446934E+000                  3.5938084145113205E+000                  1.8413567472523324E+000                  4.6594552252817595E-001                                        0                                        0 
                                    6089                  1.2516433734696247E+010                  5.1339454543650442E-001                  3.6681956903586224E+003                  3.5644524962934923E+000                  3.0129462227892141E+000                  3.5967947753081666E+000                  1.8361423972309008E+000                  4.7605580914687379E-001                                        0                                        0 
                                    6090                  1.2516435935613661E+010                  5.1316789661968609E-001                  2.2009174142151733E+003                  3.3426037466771361E+000                  3.0136313540537198E+000                  3.5988653914750013E+000                  1.8323437305294836E+000                  4.8346137178537718E-001                                        1                                        0 
                                    6091                  1.2516438576714558E+010                  5.1289633680034474E-001                  2.6411008970582079E+003                  3.4217849927247608E+000                  3.0144249337350124E+000                  3.6015661024327170E+000                  1.8273390984546976E+000                  4.9324075376976112E-001                                        1                                        0 
                                    6092                  1.2516441746035635E+010                  5.1257148071616165E-001                  3.1693210764698492E+003                  3.5009662387723854E+000                  3.0154739822294396E+000                  3.6060490078948950E+000                  1.8188978117775563E+000                  5.0984816839729874E-001                                        1                                        0 
                                    6093                  1.2516445549220926E+010                  5.1218496653157974E-001                  3.8031852917638189E+003                  3.5801474848200106E+000                  3.0167581641086101E+000                  3.6130831184022183E+000                  1.8054716817024941E+000                  5.3637281707261464E-001                                        1                                        0 
                                    6094                  1.2516447666460993E+010                  5.1197355484335472E-001                  2.1172400664758707E+003                  3.3257701039498433E+000                  3.0171632416866716E+000                  3.6182003690588966E+000                  1.7954397191781688E+000                  5.5625744384078613E-001                                        2                                        0 
                                    6095                  1.2516448936805033E+010                  5.1184901655469139E-001                  1.2703440398855223E+003                  3.1039213543334871E+000                  3.0172937184431046E+000                  3.6218776992668742E+000                  1.7881502971404295E+000                  5.7073063232059817E-001                                        3                                        0 
